local_datetime,site_id,num_days,meter_cost,demand_rate,kW,demand_cost,value,energy_cost,avg_energy_rate,total_cost
2011-12-31,224,1,4.59959,10.4355,113.4008,1183.3940484,522.8289,73.40517755999998,0.14039999999999986,1261.3988159599999
2011-12-31,228,1,4.59959,10.4355,56.826,593.0077229999999,264.40289999999993,37.12216716,0.1403999999999998,634.72948016
2011-12-31,236,1,4.59959,10.4355,68.516,714.998718,278.3064,39.074218560000006,0.1403999999999998,758.67252656
2011-12-31,259,1,4.59959,10.4355,87.47,912.7931849999999,311.61199999999985,43.750324800000016,0.14039999999999989,961.1430997999998
2011-12-31,270,1,4.59959,10.4355,51.6028,538.5010194,193.5085000000002,27.168593399999974,0.14039999999999989,570.2692028
2011-12-31,275,1,4.59959,10.4355,67.7536,707.0426928,248.24969999999993,34.85425788000003,0.14039999999999989,746.4965406800001
2012-01-31,88,31,142.58729,10.4355,252.3196,2633.0811857999997,103020.75460001006,14464.113945838511,0.14039999999999966,17239.782421638512
2012-01-31,92,31,142.58729,10.4355,56.9868,594.6857514,21696.167999998623,3046.1419872002384,0.14039999999999966,3783.415028600238
2012-01-31,99,31,142.58729,10.4355,323.2572,3373.3505106,63982.6528000021,8983.164453120018,0.14039999999999966,12499.102253720017
2012-01-31,100,31,142.58729,10.4355,233.20479999999998,2433.6086903999994,60732.82539999827,8526.888686160464,0.14039999999999966,11103.084666560462
2012-01-31,101,31,142.58729,10.4355,1170.8496,12218.401000799999,336776.6754000013,47283.445226159885,0.14039999999999966,59644.433516959885
2012-01-31,103,31,142.58729,10.4355,564.8328,5894.3126844,173997.0351000027,24429.183728040127,0.14039999999999966,30466.083702440126
2012-01-31,109,31,142.58729,10.4355,273.01120000000003,2849.0083776,82590.47960000034,11595.703335839662,0.14039999999999966,14587.29900343966
2012-01-31,111,31,142.58729,10.4355,247.0376,2577.9608747999996,100864.1179999952,14161.322167199014,0.14039999999999966,16881.870331999013
2012-01-31,116,31,142.58729,10.4355,450.508,4701.276234,151743.05490000188,21304.724907959007,0.14039999999999966,26148.588431959008
2012-01-31,136,31,142.58729,10.4355,316.93080000000003,3307.3313634,65441.53200000041,9187.99109279982,0.14039999999999966,12637.90974619982
2012-01-31,137,31,142.58729,10.4355,188.5396,1967.5049958,71866.30110000023,10090.02867443999,0.14039999999999966,12200.120960239989
2012-01-31,144,31,142.58729,10.4355,596.2072000000001,6221.7202356,108644.38830000152,15253.672117320084,0.14039999999999966,21617.979642920083
